"Ticker","Nome","Negócios","Última (R$)","Variação"
"MERC4","Mercantil do Brasil Financeira","3.900","11,00","+0,00%"
"MNDL3","Mundial","1.000","43,00","+6,09%"
"PEAB3","Participações Aliança da Bahia","300","42,00","+0,00%"
"BGIP3","Banese","300","27,34","-1,83%"
"BRGE8","Consórcio Alfa","5.100","11,81","+1,81%"
"BRGE11","Consórcio Alfa","4.300","11,81","+3,51%"
"GSHP3","General Shopping & Outlets","3.500","14,00","-3,38%"
"BRGE5","Consórcio Alfa","500","11,60","+0,00%"
"EQPA6","Equatorial Energia Pará","300","9,11","+13,88%"
"TKNO4","Tekno","200","69,90","+0,01%"
"EKTR3","Elektro","200","38,00","+0,03%"
"AHEB3","São Paulo Turismo","200","15,50","+0,00%"
"CGAS3","Comgás","100","106,25","-5,13%"
"AHEB5","São Paulo Turismo","100","16,61","+0,00%"
"EQPA5","Equatorial Energia Pará","100","7,50","-2,98%"
"JOPA3","Josapar","900","21,00","-1,87%"
"CALI3","Adolpho Lindenberg","500","17,50","-8,85%"
"CLSC3","Celesc","100","68,82","+1,47%"
"BALM3","Baumer","100","11,70","+6,36%"
"SOND6","Sondotécnica","200","50,00","-13,78%"
"PATI4","Panatlântica","200","33,50","-1,47%"
"ENMT4","Energisa MT","100","71,01","+4,43%"
"CRPG3","Tronox Pigmentos","100","40,99","+0,00%"
"MRSA5B","MRS Logística","300","23,06","+0,00%"
"MRSA6B","MRS Logística","200","23,07","+0,04%"
"CTKA3","Karsten","200","14,83","+0,00%"
"BRGE7","Consórcio Alfa","1.600","11,50","+6,28%"
"CBEE3","Ampla Energia","200","12,00","-7,69%"
"MOAR3","Monteiro Aranha","100","398,97","+2,83%"
"CEEB5","COELBA","100","36,85","+2,05%"
"GEPA3","Rio Paranapanema Energia","200","26,94","-0,04%"
"DOHL3","Döhler","100","6,51","-7,00%"
"CEED4","CEEE D","200","22,00","+1,20%"
"LUXM4","Trevisa","1.200","15,98","-0,06%"
"CSRN6","COSERN","100","25,38","-2,38%"
"CEED3","CEEE D","100","22,90","-5,68%"
"BDLL3","Bardella","600","13,00","+18,18%"
"ESTR3","Estrela","100","8,00","-20,00%"
"ELET5","Eletrobras","100","90,00","+5,87%"
"USIM6","Usiminas","300","16,28","+8,46%"
"FIEI3","Fica","300","12,99","+8,25%"
"SOND5","Sondotécnica","100","54,00","+0,00%"
"CSAB3","Cia. de Seg. Aliança da Bahia","100","30,50","-1,61%"
"CSAB4","Cia. de Seg. Aliança da Bahia","1.600","48,97","+19,47%"
"MEGA3","OMEGA ENERGIA S.A.","2.220.100","9,62","+1,48%"
"DMFN3","DM Financeira","400","14,00","+11,11%"
"GPAR3","CELGPAR","100","50,00","+11,11%"
"SQIA3","Sinqia","1.444.800","27,37","-0,29%"
"ALSO3","Aliansce Sonae","5.883.300","23,33","+2,06%"
"BRPR3","BR Properties","10.600","131,17","+2,48%"
"MTSA3","METISA","100","79,00","+2,60%"
"SLED4","Saraiva","64.300","1,60","-1,84%"
"SLED3","Saraiva","3.000","3,21","-0,31%"
"AHEB6","São Paulo Turismo","100","17,02","+0,06%"
"VIIA3","VIIA3","213.149.200","0,75","+2,74%"
"MWET3","Wetzel","100","13,30","+0,08%"
"ENBR3","EDP Brasil","1.697.900","24,08","+0,12%"
"BOAS3","Boa Vista","23.239.000","7,95","-0,38%"
"COCE3","Coelce","200","50,01","+2,86%"
"JOPA4","Josapar","100","33,80","-1,20%"
"MODL3","Banco Modal","16.688.000","3,08","+0,33%"
"MERC3","Mercantil do Brasil Financeira","51.500","15,28","+1,13%"
"CEGR3","Naturgy (CEG)","100","85,00","-4,49%"
"CRDE3","CRDE3","400","16,00","+0,00%"
"IGBR3","IGB Eletrônica","700","175,99","+1,14%"
"MSPA4","Melhoramentos","100","40,00","+0,00%"
"ODER4","Conservas Oderich","100","100,00","+12,35%"
